Country Name,Country Code,Series Name,Series Code,2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
South Africa,ZAF,"Population, total",SP.POP.TOTL,53687125,54544184,55386369,56207649,57009751,57792520,58558267,59308690
South Africa,ZAF,"Population, male",SP.POP.TOTL.MA.IN,26500317,26924050,27337004,27735713,28121437,28495093,28859302,29216012
South Africa,ZAF,"Population, female",SP.POP.TOTL.FE.IN,27186808,27620134,28049365,28471936,28888314,29297427,29698965,30092678
Thailand,THA,"Population ages 00-04, female",SP.POP.0004.FE,1917525,1891026,1867260,1838785,1814858,1793650,1771302,1745635
Thailand,THA,"Population ages 00-04, male",SP.POP.0004.MA,2036372,2004678,1977669,1945307,1919766,1898692,1876615,1850417
Thailand,THA,Population ages 0-14 (% of total population),SP.POP.0014.TO.ZS,18.4916063240773,18.2284403632995,17.9742179930524,17.6456607144525,17.3538216619869,17.0869888171064,16.8235362111587,16.5524951884655
Thailand,THA,"Population ages 0-14, female",SP.POP.0014.FE.IN,6124434,6062274,5999993,5912230,5833823,5761135,5687471,5609314
Thailand,THA,"Population ages 0-14, male",SP.POP.0014.MA.IN,6476572,6413049,6350904,6258225,6176721,6102067,6025981,5944323
Thailand,THA,"Population ages 0-14, total",SP.POP.0014.TO,12601016,12475316,12350897,12170444,12010548,11863232,11713485,11553638
Thailand,THA,"Population ages 05-09, female",SP.POP.0509.FE,2017607,2010436,1998085,1974222,1948856,1921817,1894040,1867110
Thailand,THA,"Population ages 05-09, male",SP.POP.0509.MA,2134261,2130939,2120369,2095463,2067965,2037798,2006539,1976670
Thailand,THA,"Population ages 10-14, female",SP.POP.1014.FE,2189302,2160812,2134648,2099223,2070109,2045668,2022129,1996569
Thailand,THA,"Population ages 10-14, male",SP.POP.1014.MA,2305939,2277432,2252866,2217455,2188990,2165577,2142827,2117236
Thailand,THA,"Population, total",SP.POP.TOTL,68144519,68438748,68714519,68971313,69209817,69428454,69625581,69799978
Thailand,THA,"Population, male",SP.POP.TOTL.MA.IN,33327962,33448535,33559468,33660401,33751826,33833385,33904846,33966060
Thailand,THA,"Population, female",SP.POP.TOTL.FE.IN,34816557,34990213,35155051,35310912,35457991,35595069,35720735,35833918
